Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,PacketCounter
0.4969913,0.41684353,-0.52962756,0.43228582,0.20963955,-0.33976954,-0.24191429,56
-0.1255596,0.718112,0.16509019,0.5792697,-0.54162705,1.8629028,0.44553536,57
-0.11350003,0.72001183,0.2408974,0.57864124,0.0539999,2.7867575,0.7321181,58
-0.08384839,0.7283145,0.19358446,0.58951634,-0.10163862,2.3872414,0.33991224,59
0.6413913,0.13263127,-0.7644052,0.090296715,0.58743155,-0.36775285,-0.22150175,60
-0.38026962,0.6577979,0.21819176,0.6720779,0.6278974,-1.1927797,0.48147827,61
-0.23045433,0.7410956,0.2882439,0.563411,0.12762517,1.9966879,-0.08681895,62
0.60024405,0.15337962,-0.6919619,0.18448669,1.5372319,2.4703526,0.031223986,63
0.5346464,0.14907736,-0.7539625,0.07040887,-0.9970511,-5.472566,1.3461202,64
-0.05737692,0.6545877,0.12560762,0.5526731,1.0459143,3.3476748,1.4307975,65
0.64965487,0.18452598,-0.7655808,0.14118165,0.44742018,-0.73488796,0.93032175,66
-0.02829644,0.7328437,0.15158086,0.642527,-0.8491018,4.059897,1.5926274,67
-0.36799,0.66055554,0.21651997,0.6633338,1.0117071,-1.3127836,2.5937195,68
-0.2925427,0.67164564,0.11348952,0.70068485,0.5451917,-1.1950428,1.8182749,69
0.6954242,0.2898119,-0.72307277,0.26294383,-1.8808241,-2.0502381,3.2591708,70
-0.06314367,0.73507625,-0.057822242,0.6534139,-0.283356,-0.8297761,-0.22950147,71
-0.2888902,0.61639696,0.15330262,0.5459437,-0.011517769,-7.255139,-2.7680783,72
0.51387596,0.36586744,-0.60715944,0.42090634,0.3406569,0.3269592,-1.1185726,73
0.6089591,0.14239922,-0.71181345,0.10726706,0.24668163,-2.1219802,0.312873,74
0.42757016,0.525288,-0.45537913,0.52997386,0.15319568,0.26538914,-0.15157546,75
0.15631434,0.785583,-0.15130748,0.6343419,-0.038693823,0.9119339,0.34766763,76
0.54878557,0.12360178,-0.73318374,0.058958,-0.6842222,-2.016934,0.7401014,77
-0.2249836,0.75128907,0.15570559,0.5775781,0.6211262,-1.1590631,0.741113,78
-0.29088438,0.6557392,0.10555516,0.6629137,-1.0664449,-5.252607,-4.646516,79
0.5963882,0.30106944,-0.6715851,0.26176932,0.4556325,-1.0537057,0.26505965,80
-0.029454261,0.75289106,0.15803184,0.61278325,-0.25946528,3.3111951,1.0737859,81
-0.11044493,0.7607296,0.17208819,0.5680675,-0.27646875,1.4456159,-0.14565475,82
-0.2921507,0.7491526,0.27387047,0.5991185,1.9196188,-3.048687,4.6671915,83
-0.33806536,0.6640853,0.13343965,0.6714942,0.34470016,-2.2362475,-2.238463,84
-0.064012215,0.7922053,0.17647408,0.6492646,-0.94495404,2.949861,1.2446657,85
-0.16481078,0.7698607,0.19576244,0.59846944,0.13238624,2.164333,0.45084196,86
-0.10643199,0.66567844,0.17303939,0.54137945,-0.017130772,2.0191722,1.1021334,87
0.5823884,0.20250127,-0.7411994,0.20622581,-0.7363312,-0.51214045,0.9260632,88
-0.07625191,0.7428917,0.15951087,0.60947025,-1.2245612,1.8267839,0.3791566,89
0.5668347,0.1353317,-0.72300315,0.06872351,-0.12786186,-2.6101594,0.38898206,90
-0.31067017,0.7362856,0.30074,0.605252,-0.7562769,0.26424313,-0.72305125,91
0.63238704,0.1862489,-0.7309189,0.16603157,1.0561371,0.80078787,0.6877397,92
0.1288732,0.7752957,-0.16801405,0.6840199,0.17549506,1.2980075,0.20433334,93
0.6672013,0.20338486,-0.6998557,0.26743904,1.1465458,-1.0511936,0.57847476,94
0.47658142,0.40637928,-0.527798,0.40396962,0.31593463,-0.7512013,0.34686357,95
-0.17714974,0.76506656,0.21218954,0.58109814,0.10250803,1.1001495,-0.49875236,96
0.684687,0.2095955,-0.7100143,0.2280961,0.82687986,1.3185813,1.5446861,97
0.03848079,0.74034613,0.10159393,0.62891096,-0.9195313,3.7814362,0.9599097,98
-0.0654635,0.71789485,0.1026309,0.6299278,0.5364307,1.8000184,1.9258152,99
-0.2992749,0.6564186,0.10612659,0.65695596,-0.62585753,-0.93691474,-2.7462711,100
0.14796405,0.789607,-0.14715993,0.68083537,0.085465156,1.5949349,0.2949819,101
-0.15856329,0.67946947,0.11811374,0.63322395,-0.46578655,1.1073933,1.5080384,102
-0.36556247,0.662711,0.21098022,0.664331,0.98998314,-1.3498032,2.3988607,103
0.6297015,0.24994402,-0.68490064,0.25361013,0.19540727,1.5907276,-0.38247693,104
-0.15071526,0.75919837,0.16318043,0.55480796,-0.19499329,1.173727,0.1732742,105
-0.08130762,0.78206,-0.056239635,0.66695213,-0.39832214,-1.4116083,-0.73989,106
0.5932765,0.24657847,-0.71568406,0.2827927,0.46078166,-0.49467766,-0.78402776,107
-0.1292969,0.76506674,0.17049469,0.7003977,-1.2995542,2.97751,0.9003392,108
0.620131,0.22528966,-0.7314745,0.24724057,0.5478785,-0.65162325,-0.67314565,109
-0.08149296,0.73479694,0.11892216,0.60801643,-0.22416767,0.9571803,-0.20836283,110
